iata,icao,faa,latitude,longitude,,
KBE,,,55.9291,-131.572,,
KBW,,,56.2956,-158.401,,
KCC,,,56.0032,-132.842,,
KCL,,,56.3112,-158.536,,
KCN,,,53.4029,-167.52,,
KCQ,,,56.255,-158.775,,
KCR,,,63.5677,-155.989,,
KDK,PAKD,,57.8059,-152.374,,
KEB,,,59.3521,-151.925,,
KEK,,,59.3568,-157.471,,
KFP,PAKF,,54.8474,-163.41,,
KGK,PAJZ,,59.7266,-157.259,,
KGX,,,62.8952,-160.066,,
KGZ,,,61.4551,-142.381,,
KIB,,,55.8975,-159.489,,
KKA,PAKK,,64.9395,-161.154,,
KKB,,,58.1909,-152.37,,
KKH,PADY,,59.9608,-162.881,,
KKI,,,60.9048,-161.422,,
KKK,,,64.4166,-156.82,,
KKL,,,57.367,-154.028,,
KKU,,,58.8112,-158.559,,
KLG,PALG,,61.5363,-160.341,,
KLL,,,59.1281,-156.859,,
KLN,PALB,,57.5351,-153.978,,
KLW,PAKW,,55.5792,-133.076,,
KMO,PAMB,,58.9902,-159.05,,
KMY,,,57.0256,-154.146,,
KNW,PANW,,59.4499,-157.328,,
KOT,PFKO,,63.0306,-163.533,,
KOY,,,57.1615,-154.23,,
KOZ,,,57.9254,-152.497,,
KPB,,,56.3519,-133.623,,
KPC,PAPC,,65.2537,-166.859,,
KPN,PAKI,,59.933,-164.031,,
KPR,,,58.4901,-152.582,,
KPV,PAPE,,55.906,-159.163,,
KPY,,,57.9301,-153.041,,
KQA,,,54.1338,-165.779,,
KSM,PASM,,62.0605,-163.302,,
KTB,,,55.688,-132.537,,
KTH,,,59.9632,-158.477,,
KTN,PAKT,,55.3556,-131.714,,
KTS,PFKT,,65.3313,-166.466,,
KUK,PFKA,,60.8744,-162.524,,
KVC,PAVC,,55.1163,-162.266,,
KVL,PAVL,,67.7362,-164.563,,
KWF,,,55.2963,-133.243,,
KWK,PAGG,,59.8765,-163.169,,
KWN,PAQH,,59.7551,-161.845,,
KWP,,,57.7701,-153.549,,
KWT,PFKW,,60.7903,-161.444,,
KXA,,,55.5374,-132.398,,
KYK,PAKY,,57.5671,-154.45,,
KYU,PFKU,,64.8761,-157.727,,
KZB,,,57.553,-153.746,,
LIV,,,65.467,-148.653,,
LKK,PAKL,,58.9821,-155.121,,
LMA,PAMH,,63.886,-152.302,,
LNI,PALN,,70.9107,-153.242,,
LUR,PALU,,68.8751,-166.11,,
LVD,,,61.3591,-155.44,,
MCG,PAMC,,62.9529,-155.606,,
MCL,PAIN,,63.7326,-148.911,,
MDO,PAMD,,59.4499,-146.307,,
MLL,PADM,,61.8643,-162.026,,
MLY,PAML,,64.9976,-150.644,,
MNT,,,65.1437,-149.37,,
MOS,,,64.698,-162.057,,
MOU,PAMO,,62.0954,-163.682,,
MRI,PAMR,,61.2135,-149.844,,
MTM,PAMM,,55.131,-131.578,,
MTX,PABK,,64.8068,-147.762,,
MXY,PAMX,,61.4371,-142.904,,
MYK,,,61.3357,-142.687,,
MYU,PAMY,,60.3714,-166.271,,
NCN,PFCB,,60.0773,-147.992,,
NIB,PAFS,,63.0186,-154.358,,
NIN,,,60.0207,-151.591,,
NKI,,,55.8496,-133.228,,
NLG,PAOU,,56.0075,-161.16,,
NME,PAGT,,60.471,-164.701,,
NNK,,,58.7329,-157.02,,
NNL,PANO,,59.9802,-154.839,,
NUI,PAQT,,70.21,-151.006,,
NUL,PANU,,64.7293,-158.074,,
NUP,,,60.9056,-162.44,,
OBU,PAOB,,66.9123,-156.897,,
OLH,,,57.2181,-153.27,,
OME,PAOM,,64.5122,-165.445,,
OOK,PAOO,,60.5414,-165.087,,
ORI,KORI,,57.8853,-152.846,,
ORT,PAOR,,62.9613,-141.929,,
ORV,PFNO,,66.8179,-161.019,,
OTZ,PAOT,,66.8847,-162.599,,
PAQ,PAAQ,,61.5949,-149.089,,
PCA,PAOC,,58.9065,-157.714,,
PDB,,,59.7896,-154.124,,
PEC,,,57.9552,-136.236,,
PGM,,,59.3483,-151.832,,
PHO,PAPO,,68.3488,-166.799,,
PIP,PAPN,,57.5804,-157.572,,
PIZ,PPIZ,,69.7329,-163.005,,
PKA,PAPK,,60.7029,-161.778,,
PML,PAAL,,56.006,-160.561,,
PPC,PAPR,,66.8141,-150.644,,
PPV,,,56.3288,-133.61,,
PQS,,,61.9346,-162.9,,
PSG,PAPG,,56.8017,-132.945,,
PTA,PALJ,,60.2017,-154.326,,
PTC,,,55.803,-133.597,,
PTD,PAAP,,56.2468,-134.648,,
PTH,PAPH,,56.9591,-158.633,,
PTU,PAPM,,59.0114,-161.82,,
PWR,,,56.381,-134.651,,
PYL,,,60.6853,-147.919,,
RBY,PARY,,64.7272,-155.47,,
RDB,PADG,,68.0321,-162.899,,
RDV,,,61.7881,-157.35,,
RMP,,,65.5079,-150.141,,
RSH,PARS,,61.7789,-161.319,,
SCC,PASC,,70.1947,-148.465,,
SCM,PACM,,61.8453,-165.571,,
SDP,PASD,,55.315,-160.523,,
SGW,,,56.8863,-134.158,,
SGY,PAGY,,59.4601,-135.316,,
SHG,PAGH,,66.8881,-157.162,,
SHH,PASH,,66.2496,-166.089,,
SHX,PAHX,,62.6923,-159.569,,
SIT,PASI,,57.0471,-135.362,,
SKK,PFSH,,64.3711,-161.224,,
SKW,PASW,,61.9653,-151.191,,
SLQ,PASL,,61.7005,-157.166,,
SMK,PAMK,,63.4901,-162.11,,
SMU,PASP,,61.812,-147.507,,
SNP,PASN,,57.1673,-170.22,,
SOL,,,64.5605,-164.446,,
SOV,PASO,,59.4424,-151.704,,
SRV,,,61.7897,-156.589,,
STG,PAPB,,56.5783,-169.662,,
SVA,PASA,,63.6864,-170.493,,
SVS,,,66.0172,-149.055,,
SVW,PASV,,61.0974,-155.574,,
SWD,PAWD,,60.1269,-149.419,,
SXP,,,62.5206,-164.848,,
SXQ,PASX,,60.4757,-151.034,,
SYA,PASY,,52.7123,174.114,,
SYB,,,58.3733,-152.202,,
TAL,PATA,,65.1744,-152.109,,
TCT,,,62.9932,-156.029,,
TEH,,,63.1339,-142.519,,
TEK,,,60.8714,-146.69,,
TKA,PATK,,62.3205,-150.094,,
TKE,,,57.7797,-135.218,,
TKI,,,55.9371,-133.327,,
TKJ,PFTO,,63.3295,-142.954,,
TKL,,,58.4897,-133.943,,
TLA,PATE,,65.2404,-166.339,,
TLF,,,63.3939,-153.269,,
TLJ,PATL,,62.8944,-155.977,,
TLT,,,61.0968,-160.969,,
TNC,PATC,,65.5631,-167.922,,
TNK,,,60.5755,-165.272,,
TOG,PATG,,59.0528,-160.397,,
TSG,,,63.3744,-143.336,,
TWA,,,59.0756,-160.273,,
TWE,,,65.6793,-164.799,,
TYE,,,61.0767,-151.138,,
UGB,,,57.4254,-157.74,,
UGI,,,57.7304,-153.321,,
UGS,,,57.5279,-157.399,,
UMM,PAST,,63.3315,-149.127,,
UMT,PAUM,,69.3711,-152.136,,
UNK,PAUN,,63.8884,-160.799,,
UTO,PAIM,,65.9928,-153.704,,
UUK,PAKU,,70.3308,-149.598,,
VAK,PAVA,,61.5409,-165.6,,
VDZ,PAVD,,61.1339,-146.248,,
VEE,PAVE,,67.0087,-146.366,,
WAA,PAIW,,65.6226,-168.095,,
WBB,,,63.516,-162.278,,
WBQ,PAWB,,66.3622,-147.407,,
WCR,PALR,,67.5045,-148.483,,
WFB,,,55.3499,-131.677,,
WHD,,,55.9033,-130.01,,
WKK,,,59.2826,-158.618,,
WLK,PASK,,66.6001,-159.986,,
WLR,,,55.6013,-131.637,,
WMK,,,55.7396,-132.255,,
WMO,PAWM,,64.6892,-163.413,,
WNA,PANA,,60.6903,-161.979,,
WOW,PAUO,,61.7542,-150.052,,
WRG,PAWG,,56.4843,-132.37,,
WSB,,,55.5296,-133.642,,
WSF,PACS,,61.1821,-149.863,,
WSM,,,67.4046,-150.123,,
WSN,PFWS,,58.7034,-157.008,,
WTK,PAWN,,67.5661,-162.975,,
WTL,,,60.3353,-162.667,,
WWA,PAWS,,61.5717,-149.54,,
WWP,,,56.1163,-133.122,,
WWT,PAEW,,60.9391,-164.641,,
WYB,,,55.9163,-131.801,,
YAK,PAYA,,59.5033,-139.66,,
ZNC,,,60.9807,-159.994,,
AVW,KAVQ,,32.4096,-111.218,,
AZA,KIWA,,33.3078,-111.655,,
BGT,,,34.5959,-113.17,,
BSQ,,,31.364,-109.883,,
BXK,KBXK,,33.4204,-112.686,,
CFT,KCFT,,32.9528,-109.21,,
CGZ,KCGZ,,32.9549,-111.767,,
CTW,,,34.73,-112.035,,
CWX,,,32.2454,-109.895,,
DGL,KDGL,,31.3426,-109.506,,
DMA,KDMA,,32.1665,-110.883,,
DUG,KDUG,,31.469,-109.604,,
DVT,KDVT,,33.6883,-112.083,,
FHU,KFHU,,31.5885,-110.344,,
FLG,KFLG,,35.1385,-111.671,,
GCN,KGCN,,35.9524,-112.147,,
GCW,,,35.9904,-113.816,,
GLB,,,33.3531,-110.667,,
GYR,KGYR,,33.4225,-112.376,,
HBK,,,34.9407,-110.138,,
HII,KHII,,34.5711,-114.358,,
IFP,KIFP,,35.1574,-114.56,,
IGM,KIGM,,35.2595,-113.938,,
INW,KINW,,35.0219,-110.723,,
LGF,KLGF,,32.86,-114.397,,
LUF,KLUF,,33.535,-112.383,,
MSC,KFFZ,,33.4608,-111.728,,
MVM,,,36.7164,-110.228,,
MYH,,,36.8116,-111.642,,
MZJ,KMZJ,,32.5106,-111.328,,
OLS,KOLS,,31.4177,-110.848,,
PGA,KPGA,,36.9261,-111.448,,
PGS,,,35.5713,-113.293,,
PHX,KPHX,,33.4343,-112.012,,
PJB,KPAN,,34.2568,-111.339,,
PRC,KPRC,,34.6545,-112.42,,
PXL,,,35.7917,-110.423,,
SAD,KSAD,,32.8548,-109.635,,
SCF,KSDL,,33.6229,-111.911,,
SDX,KSEZ,,34.8486,-111.788,,
SJN,KSJN,,34.5186,-109.379,,
SOW,KSOW,,34.2655,-110.006,,
TBC,,,36.0928,-111.383,,
TUS,KTUS,,32.1161,-110.941,,
TYZ,KTYL,,34.4528,-110.115,,
VLE,,,35.6506,-112.148,,
WTR,,,33.8125,-109.987,,
YUM,KNYL,,32.6566,-114.606,,
AGO,KAGO,,33.228,-93.217,,
ARG,KARG,,36.1247,-90.9251,,
AWM,KAWM,,35.1351,-90.2344,,
BVX,KBVX,,35.7262,-91.6473,,
BYH,KBYH,,35.9643,-89.944,,
CDH,KCDH,,33.6228,-92.7634,,
CKK,KCVK,,36.2649,-91.5626,,
CRT,KCRT,,33.1783,-91.8802,,
ELD,KELD,,33.221,-92.8133,,
FCY,KFCY,,34.942,-90.775,,
FLP,KFLP,,36.2909,-92.5903,,
FSM,KFSM,,35.3366,-94.3674,,
FYV,KFYV,,36.0051,-94.1701,,
HEE,KHEE,,34.5766,-90.6762,,
HKA,KHKA,,35.9404,-89.8308,,
HOT,KHOT,,34.478,-93.0962,,
HRO,KHRO,,36.2615,-93.1547,,
JBR,KJBR,,35.8317,-90.6464,,
LIT,KLIT,,34.7294,-92.2243,,
LRF,KLRF,,34.9169,-92.1497,,
MPJ,KMPJ,,35.1389,-92.9092,,
MXA,KMXA,,35.8944,-90.1546,,
PBF,KPBF,,34.1731,-91.9356,,
PGR,KPGR,,36.0629,-90.5078,,
ROG,KROG,,36.3723,-94.1069,,
SGT,KSGT,,34.5995,-91.575,,
SLG,KSLG,,36.1919,-94.49,,
SPZ,KASG,,36.1764,-94.1193,,
SRC,KSRC,,35.2106,-91.7375,,
TXK,KTXK,,33.4537,-93.991,,
WMH,KBPK,,36.3689,-92.4705,,
XNA,KXNA,,36.2819,-94.3068,,
ACV,KACV,,40.9781,-124.109,,
AHC,KAHC,,40.2662,-120.153,,
APC,KAPC,,38.2132,-122.281,,
APV,KAPV,,34.5753,-117.186,,
AUN,KAUN,,38.9548,-121.082,,
AVX,KAVX,,33.4049,-118.416,,
BAB,KBAB,,39.1361,-121.437,,
BFL,KBFL,,35.4336,-119.057,,
BIH,KBIH,,37.3731,-118.364,,
BLH,KBLH,,33.6192,-114.717,,
BLU,KBLU,,39.275,-120.71,,
BNG,KBNG,,33.9231,-116.851,,
BUR,KBUR,,34.2007,-118.359,,
BWC,KBWC,,32.9929,-115.517,,
BXS,,,33.259,-116.321,,
BYS,KBYS,,35.2805,-116.63,,
BZF,,,40.5749,-122.408,,
CCB,KCCB,,34.1116,-117.688,,
CCR,KCCR,,37.9897,-122.057,,
CEC,KCEC,,41.7802,-124.237,,
CIC,KCIC,,39.7954,-121.858,,
CKE,,,38.9906,-122.901,,
CLD,KCRQ,,33.1283,-117.28,,
CLG,,,36.1631,-120.294,,
CLR,KCLR,,33.1315,-115.521,,
CNO,KCNO,,33.9747,-117.637,,
COA,,,38.0304,-120.415,,
CPM,KCPM,,33.89,-118.244,,
CRO,KCRO,,36.1025,-119.595,,
CXL,KCXL,,32.6695,-115.513,,
DAG,KDAG,,34.8537,-116.787,,
DTH,,,36.4638,-116.881,,
EDW,KEDW,,34.9054,-117.884,,
EED,KEED,,34.7663,-114.623,,
EKA,KEKA,,40.8034,-124.113,,
EMT,KEMT,,34.0861,-118.035,,
FAT,KFAT,,36.7762,-119.718,,
FCH,KFCH,,36.7324,-119.82,,
FOB,,,39.4743,-123.796,,
FUL,KFUL,,33.872,-117.98,,
GNF,,,39.9439,-120.945,,
HAF,KHAF,,37.5134,-122.501,,
HHR,KHHR,,33.9228,-118.335,,
HLI,KCVH,,36.8933,-121.41,,
HMT,KHMT,,33.734,-117.023,,
HWD,KHWD,,37.6592,-122.122,,
IPL,KIPL,,32.8342,-115.579,,
IYK,KIYK,,35.6588,-117.83,,
KIC,KKIC,,36.228,-121.122,,
LAX,KLAX,,33.9425,-118.408,,
LGB,KLGB,,33.8177,-118.152,,
LPC,KLPC,,34.6656,-120.468,,
LSN,KLSN,,37.0629,-120.869,,
LVK,KLVK,,37.6934,-121.82,,
MAE,KMAE,,36.9886,-120.112,,
MCC,KMCC,,38.6676,-121.401,,
MCE,KMCE,,37.2847,-120.514,,
MER,KMER,,37.3805,-120.568,,
MHR,KMHR,,38.5539,-121.298,,
MHS,,,41.2632,-122.272,,
MHV,KMHV,,35.0594,-118.152,,
MIT,KMIT,,35.5074,-119.192,,
MMH,KMMH,,37.6241,-118.838,,
MOD,KMOD,,37.6258,-120.954,,
MRY,KMRY,,36.587,-121.843,,
MYF,KMYF,,32.8157,-117.14,,
MYV,KMYV,,39.0978,-121.57,,
NJK,KNJK,,32.8292,-115.672,,
NKX,KNKX,,32.8684,-117.143,,
NLC,KNLC,,36.333,-119.952,,
NLN,,,40.7193,-123.928,,
NOT,KDVO,,38.1436,-122.556,,
NRC,KNRC,,37.408,-121.109,,
NRS,KNRS,,32.5667,-117.117,,
NTD,KNTD,,34.1203,-119.121,,
NUQ,KNUQ,,37.4161,-122.049,,
NVN,,,39.8185,-120.353,,
NZY,KNZY,,32.6992,-117.215,,
OAK,KOAK,,37.7213,-122.221,,
OAR,KOAR,,36.6819,-121.762,,
OCN,KOKB,,33.2173,-117.354,,
ODC,,,37.7563,-120.8,,
ONT,KONT,,34.056,-117.601,,
OVE,KOVE,,39.4878,-121.622,,
OXR,KOXR,,34.2008,-119.207,,
PAO,KPAO,,37.4611,-122.115,,
PMD,KPMD,,34.6294,-118.085,,
POC,KPOC,,34.0916,-117.782,,
PRB,KPRB,,35.6729,-120.627,,
PSP,KPSP,,33.8297,-116.507,,
PTV,KPTV,,36.0296,-119.063,,
PVF,KPVF,,38.7242,-120.753,,
PYS,,,39.7105,-121.6163,,
RAL,KRAL,,33.9519,-117.445,,
RBF,,,34.2638,-116.856,,
RBK,,,33.5742,-117.128,,
RBL,KRBL,,40.1507,-122.252,,
RDD,KRDD,,40.509,-122.293,,
RHV,KRHV,,37.3329,-121.819,,
RIR,KRIR,,33.9897,-117.411,,
RIV,KRIV,,33.8807,-117.259,,
RMY,KMPI,,37.5109,-120.04,,
ROF,,,41.7304,-122.546,,
SAC,KSAC,,38.5125,-121.493,,
SAN,KSAN,,32.7336,-117.19,,
SAS,KSAS,,33.2414,-115.952,,
SBA,KSBA,,34.4262,-119.84,,
SBD,KSBD,,34.0954,-117.235,,
SBP,KSBP,,35.2368,-120.642,,
SCK,KSCK,,37.8942,-121.238,,
SDM,KSDM,,32.5723,-116.98,,
SEE,KSEE,,32.8262,-116.972,,
SFO,KSFO,,37.619,-122.375,,
SIY,KSIY,,41.7781,-122.473,,
SJC,KSJC,,37.3626,-121.929,,
SMF,KSMF,,38.6954,-121.591,,
SMO,KSMO,,34.0158,-118.451,,
SMX,KSMX,,34.8989,-120.457,,
SNA,KSNA,,33.6757,-117.868,,
SNS,KSNS,,36.6628,-121.606,,
SPA,KSPA,,34.9157,-81.9565,,
SQA,KIZA,,34.6068,-120.076,,
SQL,KSQL,,37.5119,-122.25,,
SRF,,,38.06,-122.51,,
STS,KSTS,,38.509,-122.813,,
SUM,KSMS,,33.995,-80.3613,,
SUU,KSUU,,38.2627,-121.927,,
SVE,KSVE,,40.3757,-120.573,,
SZN,KSZN,,34.0606,-119.915,,
SZP,KSZP,,34.3472,-119.061,,
TKF,KTRK,,39.32,-120.14,,
TLR,KTLR,,36.1563,-119.326,,
TNP,KTNP,,34.1316,-115.946,,
TOA,KTOA,,33.8034,-118.34,,
TRH,,,35.8125,-117.327,,
TRM,KTRM,,33.6267,-116.16,,
TSP,KTSP,,35.135,-118.439,,
TVL,KTVL,,38.8939,-119.995,,
UDD,KUDD,,33.7484,-116.275,,
UKI,KUKI,,39.126,-123.201,,
VBG,KVBG,,34.7373,-120.584,,
VCV,KVCV,,34.5975,-117.383,,
VIS,KVIS,,36.3187,-119.393,,
VNY,KVNY,,34.2098,-118.49,,
WHP,KWHP,,34.2593,-118.413,,
WJF,KWJF,,34.7411,-118.219,,
WLW,KWLW,,39.5164,-122.218,,
WVI,KWVI,,36.9357,-121.79,,
AFF,KAFF,,38.9697,-104.813,,
AKO,KAKO,,40.1756,-103.222,,
ALS,KALS,,37.4349,-105.867,,
AMK,,,37.2032,-107.869,,
APA,KAPA,,39.5701,-104.849,,
ASE,KASE,,39.2232,-106.869,,
BFK,KBKF,,39.7017,-104.752,,
BJC,KBJC,,39.9088,-105.117,,
CEZ,KCEZ,,37.303,-108.628,,
CIG,KCAG,,40.4952,-107.522,,
CNE,,,38.428,-105.106,,
COS,KCOS,,38.8058,-104.701,,
CSE,,,38.8519,-106.928,,
DEN,KDEN,,39.8617,-104.673,,
DRO,KDRO,,37.1515,-107.754,,
EGE,KEGE,,39.6426,-106.918,,
FCS,KFCS,,38.6784,-104.757,,
FNL,KFNL,,40.4518,-105.011,,
GJT,KGJT,,39.1224,-108.527,,
GUC,KGUC,,38.5339,-106.933,,
GWS,KGWS,,39.5083,-107.311,,
GXY,KGXY,,40.4374,-104.633,,
HDN,KHDN,,40.4812,-107.218,,
LAA,KLAA,,38.0697,-102.688,,
LIC,KLIC,,39.2748,-103.666,,
LXV,KLXV,,39.2203,-106.317,,
MTJ,KMTJ,,38.5098,-107.894,,
PGO,KPSO,,37.2863,-107.056,,
PUB,KPUB,,38.2891,-104.497,,
RIL,KRIL,,39.5263,-107.727,,
RNG,,,40.0932,-108.763,,
SBS,KSBS,,40.5163,-106.866,,
SLT,KANK,,38.5383,-106.049,,
STK,KSTK,,40.6153,-103.265,,
TAD,KTAD,,37.2594,-104.341,,
TEX,KTEX,,37.9538,-107.908,,
WBU,KBDU,,40.0394,-105.226,,
WPO,,,38.8317,-107.646,,
BDL,KBDL,,41.9392,-72.6833,,
BDR,KBDR,,41.1635,-73.1262,,
DXR,KDXR,,41.3715,-73.4822,,
GON,KGON,,41.3301,-72.0451,,
HFD,KHFD,,41.7367,-72.6494,,
HVN,KHVN,,41.2637,-72.8868,,
OXC,KOXC,,41.4786,-73.1352,,
DOV,KDOV,,39.1295,-75.466,,
GED,KGED,,38.6892,-75.3589,,
ILG,KILG,,39.6787,-75.6065,,
AAF,KAAF,,29.7275,-85.0275,,
APF,KAPF,,26.1526,-81.7753,,
AVO,KAVO,,27.5912,-81.5278,,
BCT,KBCT,,26.3785,-80.1077,,
BOW,KBOW,,27.9434,-81.7834,,
CDK,KCDK,,29.1342,-83.0505,,
CEW,KCEW,,30.7788,-86.5221,,
CLW,KCLW,,27.9767,-82.7587,,
COF,KCOF,,28.2349,-80.6101,,
COI,KCOI,,28.3416,-80.6855,,
CRG,KCRG,,30.3363,-81.5144,,
CTY,KCTY,,29.6355,-83.1048,,
DAB,KDAB,,29.1799,-81.0581,,
DSI,KDTS,,30.4001,-86.4715,,
ECP,KECP,,30.3571,-85.7954,,
EGI,KEGI,,30.6504,-86.5229,,
EYW,KEYW,,24.5561,-81.7596,,
FLL,KFLL,,26.0726,-80.1527,,
FMY,KFMY,,26.5866,-81.8633,,
FPR,KFPR,,27.4951,-80.3683,,
FPY,,,30.0693,-83.5806,,
FXE,KFXE,,26.1973,-80.1707,,
GIF,KGIF,,28.0629,-81.7533,,
GNV,KGNV,,29.6901,-82.2718,,
HST,KHST,,25.4886,-80.3836,,
HWO,KHWO,,26.0012,-80.2407,,
IMM,KIMM,,26.4332,-81.401,,
ISM,KISM,,28.2898,-81.4371,,
JAX,KJAX,,30.4941,-81.6879,,
KYO,,,28.2213,-82.3745,,
LAL,KLAL,,27.9889,-82.0186,,
LCQ,KLCQ,,30.182,-82.5769,,
